year,Transcriptome or Gene expression,Genome sequencing and assembly,genome sequencing,raw sequence reads,transcriptome,metagenome,Other,RefSeq Genome
2001,11,0,0,0,0,0,1,0
2002,112,0,0,0,0,0,1,0
2003,656,48,0,0,0,0,4,4
2004,1073,115,0,0,3,0,7,638
2005,1424,153,0,0,0,1,22,169
2006,2056,169,0,0,1,1,36,309
2007,2712,300,1,0,0,1,62,248
2008,3138,664,0,0,1,2,99,353
2009,3997,616,2,0,2,3,137,453
2010,4762,1817,0,0,2,2,192,307
2011,6617,2617,539,0,112,28,262,456
2012,6316,5827,1169,0,595,193,512,732
2013,7690,10948,1741,0,1671,444,1138,1401
2014,9424,5371,6864,1,2580,902,1998,1274
2015,9334,4985,2045,3060,1939,795,2704,1469
2016,9126,6587,8023,5772,2174,2438,3757,1597
2017,8964,4958,6385,8337,9120,8308,4106,2016
2018,9140,5939,5063,11692,11848,9695,5247,1796
2019,6363,4667,8567,10256,8211,4750,5217,2236