year,Homo sapiens,Mus musculus,human gut metagenome,soil metagenome,human metagenome,Escherichia coli,Salmonella enterica,Saccharomyces cerevisiae
1995,34,3,0,0,0,0,0,0
1996,88,42,0,0,0,0,0,0
1997,308,35,0,0,0,0,0,1
1998,188,78,0,0,0,0,0,0
1999,648,248,0,0,0,1,0,3
2000,17689,194,0,0,0,0,0,0
2001,1994,145,0,0,0,3,0,0
2002,1071,170,0,0,0,2,0,0
2003,271,197,0,0,0,0,0,2393
2004,1034,1536,0,0,0,0,0,1774
2005,5988,2477,0,0,0,145,0,282
2006,7628,2586,0,0,0,53,40,564
2007,14042,5798,0,0,0,340,0,515
2008,19970,4757,41,0,0,38,38,1500
2009,41466,11827,17,6,30,137,144,2585
2010,201692,6886,632,94,1870,586,33,3473
2011,174891,7998,432,286,60769,564,175,4751
2012,1129063,11600,3823,1058,8464,1845,106,4660
2013,418564,14885,3745,4259,28496,1387,680,13755
2014,409453,33017,17106,9370,3023,4751,3176,16414
2015,636831,49848,20424,15515,3065,9769,6128,6940
2016,540668,92664,33598,28279,11095,22044,7327,19472
2017,866967,130080,46869,40239,11692,21115,20061,9082
2018,836854,179690,50529,45992,29969,30341,38909,19065
2019,882050,246286,64835,76275,20119,46824,60400,20669